texto,label,author_role,target_type,course_code
Tudo conforme o combinado.,neutro,aluno,professor,FIS-101
Alunos engajados nas atividades.,positivo,professor,turma,PORT-101
Cronograma mantido.,neutro,professor,curso,QUI-101
Pouca participação dos alunos.,negativo,professor,turma,GEO-101
Turma muito participativa.,positivo,professor,turma,HIST-101
Sem grandes problemas.,neutro,aluno,professor,GEO-101
"Curti a didática, muito boa.",positivo,aluno,professor,GEO-101
Alunos engajados nas atividades.,positivo,professor,turma,MAT-101
"Curti a didática, muito boa.",positivo,aluno,professor,ING-101
Seguiu o roteiro previsto.,neutro,aluno,professor,PORT-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,MAT-101
Sem destaques no desempenho.,neutro,professor,curso,HIST-101
Seguiu o roteiro previsto.,neutro,aluno,professor,HIST-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,FIS-101
Participação média da turma.,neutro,aluno,professor,FIS-101
Presenças dentro da média.,neutro,professor,curso,PORT-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,QUI-101
Aula ocorreu como planejado.,neutro,professor,curso,BIO-101
Baixo rendimento na avaliação.,negativo,professor,turma,ING-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,MAT-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,MAT-101
Avaliação mal explicada.,negativo,aluno,professor,HIST-101
Nada fora do comum hoje.,neutro,professor,curso,GEO-101
"A aula passou voando, bem leve.",positivo,aluno,professor,HIST-101
Baixo rendimento na avaliação.,negativo,professor,turma,GEO-101
Tudo conforme o combinado.,neutro,aluno,professor,ING-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,MAT-101
Houve atrasos e faltas.,negativo,professor,turma,ING-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,PORT-101
Baixo rendimento na avaliação.,negativo,professor,turma,BIO-101
Feedback positivo da coordenação.,positivo,professor,turma,FIS-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,BIO-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,ING-101
Aula ocorreu como planejado.,neutro,professor,curso,MAT-101
Cronograma mantido.,neutro,professor,curso,ING-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,MAT-101
Atividades concluídas como esperado.,neutro,professor,curso,BIO-101
Seguiu o roteiro previsto.,neutro,aluno,professor,QUI-101
"A aula passou voando, bem leve.",positivo,aluno,professor,HIST-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,MAT-101
Tudo conforme o combinado.,neutro,aluno,professor,FIS-101
Aula dentro do esperado.,neutro,aluno,professor,MAT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,GEO-101
Faltou organização na aula.,negativo,aluno,professor,MAT-101
Bom rendimento geral.,positivo,professor,turma,HIST-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,MAT-101
Avaliação mal explicada.,negativo,aluno,professor,MAT-101
"Curti a didática, muito boa.",positivo,aluno,professor,BIO-101
"Aula normal, nada de diferente.",neutro,aluno,professor,ING-101
"Curti a didática, muito boa.",positivo,aluno,professor,QUI-101
Aula dentro do esperado.,neutro,aluno,professor,BIO-101
Nem bom nem ruim.,neutro,aluno,professor,PORT-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,BIO-101
Aula dentro do esperado.,neutro,aluno,professor,QUI-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,ING-101
"Foi só revisão, nada novo.",neutro,aluno,professor,ING-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,PORT-101
A prática de hoje foi incrível.,positivo,aluno,professor,ING-101
Não consegui entender quase nada.,negativo,aluno,professor,PORT-101
Turma muito participativa.,positivo,professor,turma,ING-101
Sem grandes problemas.,neutro,aluno,professor,QUI-101
Clareza total na explicação.,positivo,aluno,professor,PORT-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,PORT-101
Aula dentro do esperado.,neutro,aluno,professor,ING-101
Senti falta de mais prática.,negativo,aluno,professor,QUI-101
Cronograma mantido.,neutro,professor,curso,PORT-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,GEO-101
Houve atrasos e faltas.,negativo,professor,turma,FIS-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,QUI-101
Seguiu o roteiro previsto.,neutro,aluno,professor,GEO-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,QUI-101
"Prova bem feita, justa.",positivo,aluno,professor,ING-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,PORT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,FIS-101
Participação média da turma.,neutro,aluno,professor,GEO-101
"Curti a didática, muito boa.",positivo,aluno,professor,ING-101
Alunos engajados nas atividades.,positivo,professor,turma,PORT-101
"Prova bem feita, justa.",positivo,aluno,professor,GEO-101
Muitos não fizeram a atividade.,negativo,professor,turma,ING-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,HIST-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,FIS-101
A prática de hoje foi incrível.,positivo,aluno,professor,QUI-101
"Foi só revisão, nada novo.",neutro,aluno,professor,FIS-101
Faltou organização na aula.,negativo,aluno,professor,PORT-101
Muitos não fizeram a atividade.,negativo,professor,turma,PORT-101
Poucas faltas hoje.,positivo,professor,turma,ING-101
Cronograma mantido.,neutro,professor,curso,ING-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,HIST-101
Seguiu o roteiro previsto.,neutro,aluno,professor,MAT-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,MAT-101
Poucas faltas hoje.,positivo,professor,turma,HIST-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,PORT-101
Senti falta de mais prática.,negativo,aluno,professor,PORT-101
"Curti a didática, muito boa.",positivo,aluno,professor,MAT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,QUI-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,ING-101
"Aula normal, nada de diferente.",neutro,aluno,professor,PORT-101
"Foi só revisão, nada novo.",neutro,aluno,professor,MAT-101
Conteúdo padrão.,neutro,aluno,professor,ING-101
"Curti a didática, muito boa.",positivo,aluno,professor,HIST-101
Muitos não fizeram a atividade.,negativo,professor,turma,ING-101
Avaliação mal explicada.,negativo,aluno,professor,FIS-101
Tudo conforme o combinado.,neutro,aluno,professor,MAT-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,BIO-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,FIS-101
A turma estava dispersa.,negativo,professor,turma,FIS-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,ING-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,BIO-101
Muitos não fizeram a atividade.,negativo,professor,turma,MAT-101
Conteúdo padrão.,neutro,aluno,professor,FIS-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,PORT-101
Pouca participação dos alunos.,negativo,professor,turma,PORT-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,GEO-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,HIST-101
Atividades concluídas como esperado.,neutro,professor,curso,FIS-101
Clareza total na explicação.,positivo,aluno,professor,QUI-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,PORT-101
Faltou organização na aula.,negativo,aluno,professor,ING-101
"Foi só revisão, nada novo.",neutro,aluno,professor,ING-101
"Prova bem feita, justa.",positivo,aluno,professor,FIS-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,PORT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,PORT-101
Seguiu o roteiro previsto.,neutro,aluno,professor,ING-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,MAT-101
Tudo conforme o combinado.,neutro,aluno,professor,ING-101
Turma muito participativa.,positivo,professor,turma,BIO-101
Clareza total na explicação.,positivo,aluno,professor,GEO-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,MAT-101
Nada fora do comum hoje.,neutro,professor,curso,MAT-101
Clareza total na explicação.,positivo,aluno,professor,QUI-101
Cronograma mantido.,neutro,professor,curso,GEO-101
Foi mais teórico hoje.,neutro,aluno,professor,PORT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,GEO-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,GEO-101
"Aula normal, nada de diferente.",neutro,aluno,professor,PORT-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,PORT-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,ING-101
Sem destaques no desempenho.,neutro,professor,curso,MAT-101
"A aula passou voando, bem leve.",positivo,aluno,professor,BIO-101
Conteúdo padrão.,neutro,aluno,professor,ING-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,HIST-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,HIST-101
Não consegui entender quase nada.,negativo,aluno,professor,BIO-101
Nem bom nem ruim.,neutro,aluno,professor,HIST-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,ING-101
Sem destaques no desempenho.,neutro,professor,curso,QUI-101
Aula ocorreu como planejado.,neutro,professor,curso,ING-101
Feedback positivo da coordenação.,positivo,professor,turma,HIST-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,GEO-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,BIO-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,ING-101
Tudo conforme o combinado.,neutro,aluno,professor,HIST-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,QUI-101
Seguiu o roteiro previsto.,neutro,aluno,professor,QUI-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,GEO-101
"Curti a didática, muito boa.",positivo,aluno,professor,BIO-101
Aula ocorreu como planejado.,neutro,professor,curso,MAT-101
"Aula normal, nada de diferente.",neutro,aluno,professor,GEO-101
Foi mais teórico hoje.,neutro,aluno,professor,HIST-101
Foi mais teórico hoje.,neutro,aluno,professor,QUI-101
Participação média da turma.,neutro,aluno,professor,HIST-101
Baixo rendimento na avaliação.,negativo,professor,turma,QUI-101
A prática de hoje foi incrível.,positivo,aluno,professor,QUI-101
Participação média da turma.,neutro,aluno,professor,MAT-101
Seguiu o roteiro previsto.,neutro,aluno,professor,FIS-101
Sem destaques no desempenho.,neutro,professor,curso,HIST-101
Muitos não fizeram a atividade.,negativo,professor,turma,QUI-101
Alunos engajados nas atividades.,positivo,professor,turma,FIS-101
Faltou organização na aula.,negativo,aluno,professor,MAT-101
A prática de hoje foi incrível.,positivo,aluno,professor,BIO-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,ING-101
Aula dentro do esperado.,neutro,aluno,professor,QUI-101
Clareza total na explicação.,positivo,aluno,professor,HIST-101
"Aula normal, nada de diferente.",neutro,aluno,professor,BIO-101
Planejamento seguiu perfeitamente.,positivo,professor,turma,BIO-101
Feedback positivo da coordenação.,positivo,professor,turma,GEO-101
Conteúdo padrão.,neutro,aluno,professor,QUI-101
Seguiu o roteiro previsto.,neutro,aluno,professor,GEO-101
Bom rendimento geral.,positivo,professor,turma,GEO-101
Faltou organização na aula.,negativo,aluno,professor,GEO-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,FIS-101
A prática de hoje foi incrível.,positivo,aluno,professor,ING-101
Tudo conforme o combinado.,neutro,aluno,professor,PORT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,HIST-101
Houve atrasos e faltas.,negativo,professor,turma,QUI-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,FIS-101
Muitos não fizeram a atividade.,negativo,professor,turma,BIO-101
Bom rendimento geral.,positivo,professor,turma,FIS-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,MAT-101
Presenças dentro da média.,neutro,professor,curso,MAT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,BIO-101
Alunos engajados nas atividades.,positivo,professor,turma,QUI-101
"Prova bem feita, justa.",positivo,aluno,professor,PORT-101
Turma muito participativa.,positivo,professor,turma,QUI-101
"A aula passou voando, bem leve.",positivo,aluno,professor,ING-101
Alunos engajados nas atividades.,positivo,professor,turma,HIST-101
Participação média da turma.,neutro,aluno,professor,HIST-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,GEO-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,GEO-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,PORT-101
Não consegui entender quase nada.,negativo,aluno,professor,BIO-101
Houve atrasos e faltas.,negativo,professor,turma,MAT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,MAT-101
Seguiu o roteiro previsto.,neutro,aluno,professor,PORT-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,QUI-101
Presenças dentro da média.,neutro,professor,curso,HIST-101
Foi mais teórico hoje.,neutro,aluno,professor,ING-101
"Foi só revisão, nada novo.",neutro,aluno,professor,BIO-101
Foi mais teórico hoje.,neutro,aluno,professor,GEO-101
Conteúdo padrão.,neutro,aluno,professor,FIS-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,BIO-101
Tudo conforme o combinado.,neutro,aluno,professor,FIS-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,GEO-101
Tudo conforme o combinado.,neutro,aluno,professor,MAT-101
Senti falta de mais prática.,negativo,aluno,professor,BIO-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,HIST-101
Aula ocorreu como planejado.,neutro,professor,curso,GEO-101
Sem grandes problemas.,neutro,aluno,professor,HIST-101
Clareza total na explicação.,positivo,aluno,professor,PORT-101
Conteúdo padrão.,neutro,aluno,professor,MAT-101
A turma estava dispersa.,negativo,professor,turma,FIS-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,MAT-101
Clareza total na explicação.,positivo,aluno,professor,FIS-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,HIST-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,FIS-101
Turma muito participativa.,positivo,professor,turma,MAT-101
"Aula normal, nada de diferente.",neutro,aluno,professor,HIST-101
A prática de hoje foi incrível.,positivo,aluno,professor,FIS-101
Cronograma mantido.,neutro,professor,curso,QUI-101
Não consegui entender quase nada.,negativo,aluno,professor,QUI-101
Bom rendimento geral.,positivo,professor,turma,MAT-101
Atividades concluídas como esperado.,neutro,professor,curso,BIO-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,MAT-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,PORT-101
"Foi só revisão, nada novo.",neutro,aluno,professor,PORT-101
Sem grandes problemas.,neutro,aluno,professor,HIST-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,HIST-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,GEO-101
Aula dentro do esperado.,neutro,aluno,professor,GEO-101
"Prova bem feita, justa.",positivo,aluno,professor,GEO-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,MAT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,ING-101
Houve atrasos e faltas.,negativo,professor,turma,BIO-101
Turma muito participativa.,positivo,professor,turma,ING-101
Participação média da turma.,neutro,aluno,professor,QUI-101
Alunos engajados nas atividades.,positivo,professor,turma,BIO-101
Faltou organização na aula.,negativo,aluno,professor,ING-101
Nada fora do comum hoje.,neutro,professor,curso,ING-101
Clareza total na explicação.,positivo,aluno,professor,HIST-101
Sem grandes problemas.,neutro,aluno,professor,HIST-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,FIS-101
Baixo rendimento na avaliação.,negativo,professor,turma,BIO-101
Nada fora do comum hoje.,neutro,professor,curso,GEO-101
A prática de hoje foi incrível.,positivo,aluno,professor,BIO-101
"Aula normal, nada de diferente.",neutro,aluno,professor,MAT-101
Planejamento seguiu perfeitamente.,positivo,professor,turma,FIS-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,GEO-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,HIST-101
Aula ocorreu como planejado.,neutro,professor,curso,FIS-101
Foi mais teórico hoje.,neutro,aluno,professor,BIO-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,QUI-101
Atividades concluídas como esperado.,neutro,professor,curso,FIS-101
Nada fora do comum hoje.,neutro,professor,curso,FIS-101
Bom rendimento geral.,positivo,professor,turma,QUI-101
Seguiu o roteiro previsto.,neutro,aluno,professor,BIO-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,QUI-101
Nada fora do comum hoje.,neutro,professor,curso,MAT-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,GEO-101
Senti falta de mais prática.,negativo,aluno,professor,FIS-101
Turma muito participativa.,positivo,professor,turma,FIS-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,FIS-101
Turma muito participativa.,positivo,professor,turma,ING-101
Clareza total na explicação.,positivo,aluno,professor,ING-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,BIO-101
Participação média da turma.,neutro,aluno,professor,QUI-101
Muitos não fizeram a atividade.,negativo,professor,turma,HIST-101
Avaliação mal explicada.,negativo,aluno,professor,HIST-101
"Foi só revisão, nada novo.",neutro,aluno,professor,GEO-101
"Foi só revisão, nada novo.",neutro,aluno,professor,BIO-101
"Prova bem feita, justa.",positivo,aluno,professor,BIO-101
"Prova bem feita, justa.",positivo,aluno,professor,HIST-101
A prática de hoje foi incrível.,positivo,aluno,professor,HIST-101
Aula ocorreu como planejado.,neutro,professor,curso,GEO-101
"Foi só revisão, nada novo.",neutro,aluno,professor,FIS-101
Avaliação mal explicada.,negativo,aluno,professor,QUI-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,HIST-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,QUI-101
Tudo conforme o combinado.,neutro,aluno,professor,FIS-101
Pouca participação dos alunos.,negativo,professor,turma,MAT-101
Sem destaques no desempenho.,neutro,professor,curso,FIS-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,QUI-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,HIST-101
Baixo rendimento na avaliação.,negativo,professor,turma,QUI-101
Turma muito participativa.,positivo,professor,turma,PORT-101
Não consegui entender quase nada.,negativo,aluno,professor,ING-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,MAT-101
Atividades concluídas como esperado.,neutro,professor,curso,BIO-101
Conteúdo padrão.,neutro,aluno,professor,MAT-101
Avaliação mal explicada.,negativo,aluno,professor,BIO-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,GEO-101
A turma estava dispersa.,negativo,professor,turma,HIST-101
"A aula foi top, entendi tudo.",positivo,aluno,professor,PORT-101
Aula dentro do esperado.,neutro,aluno,professor,PORT-101
Sem grandes problemas.,neutro,aluno,professor,PORT-101
Presenças dentro da média.,neutro,professor,curso,HIST-101
Seguiu o roteiro previsto.,neutro,aluno,professor,HIST-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,FIS-101
Conteúdo padrão.,neutro,aluno,professor,QUI-101
Muitos não fizeram a atividade.,negativo,professor,turma,GEO-101
Seguiu o roteiro previsto.,neutro,aluno,professor,MAT-101
Atividades concluídas como esperado.,neutro,professor,curso,PORT-101
