texto,label,author_role,target_type,course_code
"A aula foi top, entendi tudo.",positivo,aluno,professor,BIO-101
Cronograma mantido.,neutro,professor,curso,QUI-101
A prática de hoje foi incrível.,positivo,aluno,professor,FIS-101
"Prova bem feita, justa.",positivo,aluno,professor,GEO-101
Bom rendimento geral.,positivo,professor,turma,PORT-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,FIS-101
"Foi só revisão, nada novo.",neutro,aluno,professor,GEO-101
Aula ocorreu como planejado.,neutro,professor,curso,BIO-101
"Foi só revisão, nada novo.",neutro,aluno,professor,BIO-101
Seguiu o roteiro previsto.,neutro,aluno,professor,FIS-101
"Curti a didática, muito boa.",positivo,aluno,professor,PORT-101
"Foi só revisão, nada novo.",neutro,aluno,professor,BIO-101
"A aula passou voando, bem leve.",positivo,aluno,professor,ING-101
Feedback positivo da coordenação.,positivo,professor,turma,MAT-101
Cronograma mantido.,neutro,professor,curso,GEO-101
Baixo rendimento na avaliação.,negativo,professor,turma,FIS-101
Poucas faltas hoje.,positivo,professor,turma,GEO-101
Professor(a) muito atencioso(a).,positivo,aluno,professor,GEO-101
Bom rendimento geral.,positivo,professor,turma,MAT-101
"A aula passou voando, bem leve.",positivo,aluno,professor,QUI-101
Turma muito participativa.,positivo,professor,turma,GEO-101
"Curti a didática, muito boa.",positivo,aluno,professor,MAT-101
Pouca participação dos alunos.,negativo,professor,turma,PORT-101
"Aula normal, nada de diferente.",neutro,aluno,professor,PORT-101
Turma muito participativa.,positivo,professor,turma,BIO-101
Feedback positivo da coordenação.,positivo,professor,turma,QUI-101
"Aula normal, nada de diferente.",neutro,aluno,professor,GEO-101
"Curti a didática, muito boa.",positivo,aluno,professor,ING-101
Aula dentro do esperado.,neutro,aluno,professor,PORT-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,FIS-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,BIO-101
Nem bom nem ruim.,neutro,aluno,professor,BIO-101
"Curti a didática, muito boa.",positivo,aluno,professor,QUI-101
Muitos não fizeram a atividade.,negativo,professor,turma,HIST-101
Houve atrasos e faltas.,negativo,professor,turma,FIS-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,HIST-101
"Prova bem feita, justa.",positivo,aluno,professor,MAT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,HIST-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,HIST-101
Tudo conforme o combinado.,neutro,aluno,professor,ING-101
"A aula passou voando, bem leve.",positivo,aluno,professor,PORT-101
Bom rendimento geral.,positivo,professor,turma,QUI-101
Senti falta de mais prática.,negativo,aluno,professor,ING-101
"Prova bem feita, justa.",positivo,aluno,professor,MAT-101
Faltou organização na aula.,negativo,aluno,professor,QUI-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,PORT-101
Bom rendimento geral.,positivo,professor,turma,HIST-101
Bom rendimento geral.,positivo,professor,turma,PORT-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,ING-101
Sem grandes problemas.,neutro,aluno,professor,FIS-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,GEO-101
Nada fora do comum hoje.,neutro,professor,curso,BIO-101
Sem destaques no desempenho.,neutro,professor,curso,FIS-101
Cronograma mantido.,neutro,professor,curso,QUI-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,BIO-101
Conteúdo padrão.,neutro,aluno,professor,GEO-101
Turma muito participativa.,positivo,professor,turma,GEO-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,QUI-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,ING-101
Avaliação mal explicada.,negativo,aluno,professor,BIO-101
Muitos não fizeram a atividade.,negativo,professor,turma,ING-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,ING-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,QUI-101
"Curti a didática, muito boa.",positivo,aluno,professor,FIS-101
Poucas faltas hoje.,positivo,professor,turma,BIO-101
"Foi só revisão, nada novo.",neutro,aluno,professor,GEO-101
Muitos não fizeram a atividade.,negativo,professor,turma,HIST-101
Planejamento seguiu perfeitamente.,positivo,professor,turma,PORT-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,GEO-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,GEO-101
Avaliação mal explicada.,negativo,aluno,professor,QUI-101
Participação média da turma.,neutro,aluno,professor,BIO-101
Muitos não fizeram a atividade.,negativo,professor,turma,MAT-101
Aula ocorreu como planejado.,neutro,professor,curso,PORT-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,PORT-101
Bom rendimento geral.,positivo,professor,turma,ING-101
Pouca participação dos alunos.,negativo,professor,turma,PORT-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,MAT-101
Sem grandes problemas.,neutro,aluno,professor,GEO-101
Nem bom nem ruim.,neutro,aluno,professor,PORT-101
"Foi só revisão, nada novo.",neutro,aluno,professor,BIO-101
A explicação foi corrida e sem exemplos.,negativo,aluno,professor,FIS-101
Aula dentro do esperado.,neutro,aluno,professor,MAT-101
Aula ocorreu como planejado.,neutro,professor,curso,QUI-101
Nem bom nem ruim.,neutro,aluno,professor,ING-101
Presenças dentro da média.,neutro,professor,curso,PORT-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,FIS-101
Tudo conforme o combinado.,neutro,aluno,professor,BIO-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,BIO-101
Avaliação mal explicada.,negativo,aluno,professor,PORT-101
"Foi só revisão, nada novo.",neutro,aluno,professor,QUI-101
Tudo conforme o combinado.,neutro,aluno,professor,MAT-101
Pouca participação dos alunos.,negativo,professor,turma,FIS-101
Pouca participação dos alunos.,negativo,professor,turma,BIO-101
Nada fora do comum hoje.,neutro,professor,curso,HIST-101
Planejamento seguiu perfeitamente.,positivo,professor,turma,QUI-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,ING-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,HIST-101
Não consegui entender quase nada.,negativo,aluno,professor,QUI-101
Bom rendimento geral.,positivo,professor,turma,ING-101
Tudo conforme o combinado.,neutro,aluno,professor,QUI-101
Faltou organização na aula.,negativo,aluno,professor,BIO-101
Nada fora do comum hoje.,neutro,professor,curso,PORT-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,FIS-101
Baixo rendimento na avaliação.,negativo,professor,turma,PORT-101
"Explicação massa demais, parabéns.",positivo,aluno,professor,GEO-101
Avaliação mal explicada.,negativo,aluno,professor,GEO-101
Cronograma mantido.,neutro,professor,curso,ING-101
Faltou organização na aula.,negativo,aluno,professor,GEO-101
Presenças dentro da média.,neutro,professor,curso,HIST-101
"Curti a didática, muito boa.",positivo,aluno,professor,MAT-101
Pouca participação dos alunos.,negativo,professor,turma,PORT-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,FIS-101
"Material show de bola, ajudou muito.",positivo,aluno,professor,BIO-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,BIO-101
Não consegui entender quase nada.,negativo,aluno,professor,PORT-101
Foi mais teórico hoje.,neutro,aluno,professor,QUI-101
Pouca participação dos alunos.,negativo,professor,turma,HIST-101
Pouca participação dos alunos.,negativo,professor,turma,BIO-101
Prova difícil e nada a ver com o que foi dado.,negativo,aluno,professor,GEO-101
Bom rendimento geral.,positivo,professor,turma,FIS-101
"Curti a didática, muito boa.",positivo,aluno,professor,QUI-101
Faltou organização na aula.,negativo,aluno,professor,ING-101
Gostei do jeito que revisou antes da prova.,positivo,aluno,professor,FIS-101
"Aula normal, nada de diferente.",neutro,aluno,professor,BIO-101
Avaliação mal explicada.,negativo,aluno,professor,QUI-101
"Foi só revisão, nada novo.",neutro,aluno,professor,HIST-101
"Pouca interação, ficou cansativo.",negativo,aluno,professor,HIST-101
Sem grandes problemas.,neutro,aluno,professor,HIST-101
"Ritmo rápido demais, fiquei perdido.",negativo,aluno,professor,FIS-101
Bom rendimento geral.,positivo,professor,turma,MAT-101
Conteúdo padrão.,neutro,aluno,professor,FIS-101
Nem bom nem ruim.,neutro,aluno,professor,MAT-101
A turma estava dispersa.,negativo,professor,turma,QUI-101
Feedback positivo da coordenação.,positivo,professor,turma,GEO-101
Clareza total na explicação.,positivo,aluno,professor,HIST-101
Presenças dentro da média.,neutro,professor,curso,ING-101
Senti falta de mais prática.,negativo,aluno,professor,PORT-101
Muito conteúdo em pouco tempo.,negativo,aluno,professor,GEO-101
"Material confuso, meio bagunçado.",negativo,aluno,professor,MAT-101
Houve atrasos e faltas.,negativo,professor,turma,MAT-101
Planejamento seguiu perfeitamente.,positivo,professor,turma,BIO-101
"Prova bem feita, justa.",positivo,aluno,professor,FIS-101
"Aula normal, nada de diferente.",neutro,aluno,professor,ING-101
Conteúdo atrasado por falta de atenção.,negativo,professor,turma,MAT-101
"Professor sempre disposto a tirar dúvidas.",positivo,aluno,professor,FIS-101
"Ótima dinâmica em grupo hoje.",positivo,aluno,professor,BIO-101
Participação abaixo do esperado.,negativo,professor,turma,MAT-101
"Aula tranquila, sem intercorrências.",neutro,professor,curso,PORT-101
"Exercícios bem elaborados, muito bom.",positivo,aluno,professor,QUI-101
"Slides confusos, difícil acompanhar.",negativo,aluno,professor,HIST-101
Rendimento dentro da média.,neutro,professor,turma,GEO-101
"Explicação clara e objetiva.",positivo,aluno,professor,ING-101
"Muita teoria, pouca prática.",negativo,aluno,professor,FIS-101
"Boa participação nas discussões.",positivo,professor,turma,PORT-101
"Atividades bem distribuídas.",positivo,aluno,professor,MAT-101
"Exemplos do cotidiano ajudaram muito.",positivo,aluno,professor,QUI-101
Poucos alunos fizeram o dever.,negativo,professor,turma,BIO-101
"Metodologia diferenciada, gostei.",positivo,aluno,professor,HIST-101
"Conteúdo denso, mas bem explicado.",positivo,aluno,professor,GEO-101
Atividades no prazo estabelecido.,neutro,professor,curso,ING-101
"Aula produtiva hoje.",positivo,professor,turma,FIS-101
"Explicações muito abstratas.",negativo,aluno,professor,MAT-101
"Bom uso dos recursos visuais.",positivo,aluno,professor,BIO-101
"Exercícios complementares ajudaram.",positivo,aluno,professor,PORT-101
"Exemplos práticos muito úteis.",positivo,aluno,professor,FIS-101
"Discussão produtiva em sala.",positivo,professor,turma,MAT-101
"Slides bem organizados.",positivo,aluno,professor,BIO-101
"Faltou contextualização.",negativo,aluno,professor,QUI-101
"Material complementar excelente.",positivo,aluno,professor,PORT-101
"Muitos conceitos novos hoje.",neutro,aluno,professor,HIST-101
"Atividade em grupo bem conduzida.",positivo,professor,turma,GEO-101
"Exercícios muito repetitivos.",negativo,aluno,professor,ING-101
"Bom desenvolvimento da turma.",positivo,professor,turma,FIS-101
"Explicação um pouco confusa.",negativo,aluno,professor,MAT-101
"Aula dinâmica e interessante.",positivo,aluno,professor,BIO-101
"Conteúdo bem sequenciado.",positivo,aluno,professor,QUI-101
"Turma dispersa hoje.",negativo,professor,turma,PORT-101
"Exemplos muito abstratos.",negativo,aluno,professor,HIST-101
"Boa participação geral.",positivo,professor,turma,GEO-101
"Ritmo adequado de apresentação.",positivo,aluno,professor,ING-101
"Dúvidas bem esclarecidas.",positivo,aluno,professor,FIS-101
"Alguns alunos conversando muito.",negativo,professor,turma,MAT-101
"Material didático eficiente.",positivo,aluno,professor,BIO-101
"Explicação muito técnica.",negativo,aluno,professor,QUI-101
"Boa interação professor-aluno.",positivo,aluno,professor,PORT-101
"Ambiente propício ao aprendizado.",positivo,professor,turma,HIST-101
"Exercícios desafiadores.",neutro,aluno,professor,GEO-101
"Aula bem estruturada.",positivo,aluno,professor,ING-101
"Participação ativa dos alunos.",positivo,professor,turma,FIS-101
"Conteúdo denso para uma aula.",negativo,aluno,professor,MAT-101
"Boa dinâmica de grupo.",positivo,professor,turma,BIO-101
"Explicações bem detalhadas.",positivo,aluno,professor,QUI-101
"Alguns conceitos mal explicados.",negativo,aluno,professor,PORT-101
"Atividades práticas produtivas.",positivo,aluno,professor,HIST-101
"Turma interessada hoje.",positivo,professor,turma,GEO-101
"Material de apoio adequado.",positivo,aluno,professor,ING-101
"Muitas faltas hoje.",negativo,professor,turma,FIS-101
"Boa condução da aula.",positivo,aluno,professor,MAT-101
"Exercícios bem elaborados.",positivo,aluno,professor,BIO-101
"Pouca participação da turma.",negativo,professor,turma,QUI-101
"Explicação muito rápida.",negativo,aluno,professor,PORT-101
"Bom aproveitamento geral.",positivo,professor,turma,HIST-101
"Aula bem planejada.",positivo,aluno,professor,GEO-101
"Exemplos do dia a dia ajudaram.",positivo,aluno,professor,ING-101
"Turma agitada hoje.",negativo,professor,turma,FIS-101
"Boa sequência didática.",positivo,aluno,professor,MAT-101
"Atividades interessantes.",positivo,aluno,professor,BIO-101
"Explicação muito teórica.",negativo,aluno,professor,QUI-101
"Bom ritmo de apresentação.",positivo,aluno,professor,PORT-101
"Participação dentro do esperado.",neutro,professor,turma,HIST-101
"Material bem elaborado.",positivo,aluno,professor,GEO-101
"Aula muito produtiva.",positivo,aluno,professor,ING-101
"Turma focada hoje.",positivo,professor,turma,FIS-101
"Explicação objetiva e clara.",positivo,aluno,professor,MAT-101
"Professor explica bem, mas a aula é massante.",neutro,aluno,professor,FIS-101
"Turma respondeu bem aos questionamentos.",positivo,professor,turma,PORT-101
"Conteúdo dado de forma clara e objetiva.",positivo,aluno,professor,QUI-101
"Alunos dispersos durante a explicação.",negativo,professor,turma,GEO-101
"Debate interessante sobre o tema proposto.",positivo,professor,turma,HIST-101
"Aula tranquila, sem grandes novidades.",neutro,aluno,professor,GEO-101
"Gostei da forma como o professor conduziu a aula.",positivo,aluno,professor,GEO-101
"Alunos participaram ativamente das atividades.",positivo,professor,turma,MAT-101
"Achei a aula muito proveitosa e dinâmica.",positivo,aluno,professor,ING-101
"Aula seguiu o cronograma estabelecido.",neutro,aluno,professor,PORT-101
"Achei a explicação um pouco confusa, faltou exemplos.",negativo,aluno,professor,MAT-101
"Sem grandes destaques no desempenho geral da turma.",neutro,professor,curso,HIST-101
"Aula seguiu o roteiro planejado, sem imprevistos.",neutro,aluno,professor,HIST-101
"A revisão antes da prova foi muito útil para relembrar os conteúdos.",positivo,aluno,professor,FIS-101
"Participação da turma dentro da média esperada.",neutro,aluno,professor,FIS-101
"Presenças dos alunos dentro da média do curso.",neutro,professor,curso,PORT-101
"A aula foi excelente, consegui entender todos os conceitos.",positivo,aluno,professor,QUI-101
"Aula ocorreu conforme o planejamento inicial.",neutro,professor,curso,BIO-101
"Rendimento dos alunos abaixo do esperado na avaliação.",negativo,professor,turma,ING-101
"A explicação foi um pouco superficial, faltou aprofundamento.",negativo,aluno,professor,MAT-101
"Pouca interação entre professor e alunos, aula ficou monótona.",negativo,aluno,professor,MAT-101
"Avaliação não refletiu o conteúdo abordado em sala de aula.",negativo,aluno,professor,HIST-101
"Nada de novo no curso hoje, tudo dentro do esperado.",neutro,professor,curso,GEO-101
"A aula foi muito divertida e dinâmica, adorei!",positivo,aluno,professor,HIST-101
"Rendimento dos alunos abaixo do esperado na avaliação.",negativo,professor,turma,GEO-101
"Tudo ocorreu conforme o combinado previamente.",neutro,aluno,professor,ING-101
"Material didático confuso e desorganizado.",negativo,aluno,professor,MAT-101
"Houve muitos atrasos e faltas por parte dos alunos.",negativo,professor,turma,ING-101
"A revisão antes da prova foi muito útil para relembrar os conteúdos.",positivo,aluno,professor,PORT-101
"Rendimento dos alunos abaixo do esperado na avaliação.",negativo,professor,turma,BIO-101
"Feedback positivo da coordenação sobre o desempenho da turma.",positivo,professor,turma,FIS-101
"Prova muito difícil e com questões que não foram abordadas em sala de aula.",negativo,aluno,professor,BIO-101
"Conteúdo muito extenso para ser abordado em apenas uma aula.",negativo,aluno,professor,ING-101
"Aula ocorreu conforme o planejamento inicial.",neutro,professor,curso,MAT-101
"Cronograma do curso foi seguido à risca.",neutro,professor,curso,ING-101
"Prova muito difícil e com questões que não foram abordadas em sala de aula.",negativo,aluno,professor,MAT-101
"Atividades foram concluídas conforme o esperado.",neutro,professor,curso,BIO-101
"Aula seguiu o roteiro planejado, sem imprevistos.",neutro,aluno,professor,QUI-101
"A aula foi muito divertida e dinâmica, adorei!",positivo,aluno,professor,HIST-101
"Prova muito difícil e com questões que não foram abordadas em sala de aula.",negativo,aluno,professor,MAT-101
"Tudo ocorreu conforme o combinado previamente.",neutro,aluno,professor,FIS-101
"Aula dentro do esperado, sem grandes surpresas.",neutro,aluno,professor,MAT-101
"Conteúdo muito extenso para ser abordado em apenas uma aula.",negativo,aluno,professor,GEO-101
"Faltou organização na apresentação do conteúdo.",negativo,aluno,professor,MAT-101
"Bom rendimento geral da turma nas atividades.",positivo,professor,turma,HIST-101
"Material didático confuso e desorganizado.",negativo,aluno,professor,MAT-101
"Avaliação não refletiu o conteúdo abordado em sala de aula.",negativo,aluno,professor,MAT-101
"Gostei da forma como o professor conduziu a aula.",positivo,aluno,professor,BIO-101
"Aula normal, sem nada de diferente para comentar.",neutro,aluno,professor,ING-101
"Gostei da forma como o professor conduziu a aula.",positivo,aluno,professor,QUI-101
"Aula dentro do esperado, sem grandes surpresas.",neutro,aluno,professor,BIO-101
"Nem bom nem ruim, apenas uma aula comum.",neutro,aluno,professor,PORT-101
"Material didático confuso e desorganizado.",negativo,aluno,professor,BIO-101
"Aula dentro do esperado, sem grandes surpresas.",neutro,aluno,professor,QUI-101
"Material didático excelente, me ajudou muito a entender a matéria.",positivo,aluno,professor,ING-101
"Foi apenas uma revisão, nada de novo foi ensinado.",neutro,aluno,professor,ING-101
"Material didático excelente, me ajudou muito a entender a matéria.",positivo,aluno,professor,PORT-101
"A prática de hoje foi incrível, adorei!",positivo,aluno,professor,ING-101
"Não consegui entender quase nada da explicação.",negativo,aluno,professor,PORT-101
"Turma participou ativamente das atividades propostas.",positivo,professor,turma,ING-101
"Sem grandes problemas durante a aula de hoje.",neutro,aluno,professor,QUI-101
"Professor explicou tudo com clareza e objetividade.",positivo,aluno,professor,PORT-101
"O ritmo da aula foi muito rápido, fiquei perdido.",negativo,aluno,professor,PORT-101
"Aula dentro do esperado, sem grandes surpresas.",neutro,aluno,professor,ING-101
"Senti falta de mais atividades práticas.",negativo,aluno,professor,QUI-101
"Cronograma do curso foi seguido à risca.",neutro,professor,curso,PORT-101
"Material didático confuso e desorganizado.",negativo,aluno,professor,GEO-101
"Houve muitos atrasos e faltas por parte dos alunos.",negativo,professor,turma,FIS-101
"A explicação foi um pouco superficial, faltou aprofundamento.",negativo,aluno,professor,QUI-101
"Aula seguiu o roteiro planejado, sem imprevistos.",neutro,aluno,professor,GEO-101
"O ritmo da aula foi muito rápido, fiquei perdido.",negativo,aluno,professor,QUI-101
"Prova bem elaborada e justa com o conteúdo ensinado.",positivo,aluno,professor,ING-101
"Pouca interação entre professor e alunos, aula ficou monótona.",negativo,aluno,professor,PORT-101